Age,Education,Marital_Status,Parental_Status,Children,Income,Total_Spending,Days_as_Customer,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Web,Catalog,Store,Discount_Purchases,Total_Promo,NumWebVisitsMonth,cluster
51,3,1,1,1,7500,31,4503,19,3,1,10,3,2,12,2,0,3,3,0,5,1
50,2,0,0,0,79941,984,4234,72,123,81,266,120.5,30,126.5,2,4,9,1,0,1,2
30,1,1,0,0,7500,122,4830,24,3,18,14,15,22,50,3,1,3,3,0,9,1
58,2,1,1,1,41728,55,4634,92,13,6,15,3,5,13,2,0,2,1,0,10,1
75,2,0,1,3,51381.5,124,4412,96,48,5,48,6,10,7,2,1,4,3,0,6,1
72,4,1,1,2,72550,1319,4831,39,826,50,317,50,38,38,5,2,12,9,0,8,0
69,2,0,1,1,65486,507,4281,29,245,19,125,37,67,14,4,2,10,1,0,2,2
62,3,1,0,0,79143,1693,4920,2,650,37,556,27,81,32,6,9,13,1,0,3,2
49,2,0,1,1,35790,72,4776,54,12,6,20,30,1,3,2,0,3,2,0,7,1
49,2,0,0,0,82582,1617,4255,54,510,81,550,120.5,40,126.5,4,9,7,1,2,1,2
48,2,1,1,2,66373,606,4615,57,328,9,124,12,24,109,4,2,10,7,0,3,0
71,3,1,0,0,82384,1957,4820,55,984,51,432,120.5,81,126.5,3,10,13,1,1,1,2
60,2,0,0,0,70287,1093,4686,30,295,35,482,120.5,81,40,5,5,10,1,0,3,2
38,2,0,1,1,27938,29,4295,31,13,0,8,2,1,5,1,0,4,1,0,3,1
44,2,0,1,1,51381.5,46,4610,57,11,3,22,2,2,6,2,0,3,2,0,6,1
58,4,1,1,1,55954,518,4351,63,447,0,28,0,0,43,8,2,6,3,0,7,0
44,3,0,0,0,75777,1438,4593,12,712,26,538,69,13,80,3,6,11,1,2,1,2
51,2,1,1,2,66653,612,4893,18,452,18,102,16,18,6,4,2,12,4,0,3,0
74,2,0,1,1,61823,884,4729,26,523,7,134,37,14,126.5,8,2,10,4,0,7,0
75,4,0,1,1,67680,606,4616,8,546,0,48,0,6,6,7,3,8,1,0,5,0
78,2,1,0,0,70666,1076,4438,29,398,40,367,119,81,30,7,4,4,1,0,4,2
55,2,1,1,1,25721,34,4637,75,1,3,6,3,6,15,1,1,2,1,0,7,1
59,2,1,1,2,32474,11,4282,0,10,0,1,0,0,0,1,0,2,1,0,7,1
47,1,0,1,1,88194,1274,4335,19,688,14,309,120.5,24,38,11,10,10,1,2,5,2
68,2,1,1,1,69096,653,4508,4,247,49,159,7,81,109,5,2,10,1,0,4,0
56,2,1,1,3,74854,1562,4680,90,856,59,487,58,29,73,2,5,5,7,0,5,0
72,3,1,0,0,66991,1253,4889,1,496,36,460,120.5,60,12,4,8,6,3,0,3,2
53,1,1,1,1,51381.5,109,4886,25,25,3,43,17,4,17,3,0,3,3,0,8,1
67,2,1,1,1,65031,863,4702,29,258,81,291,84,37,86,10,3,13,4,0,7,0
51,4,1,1,2,60631,661,4683,88,565,6,65,0,6,19,9,2,8,5,1,7,0
74,2,1,0,0,28332,65,4293,58,14,10,13,4,15,9,2,1,4,1,0,2,1
49,2,0,1,1,40246,13,4790,68,2,1,6,2,1,1,1,0,2,1,0,6,1
54,3,1,0,0,75251,1890,4904,34,721,81,556,97,18,18,7,6,5,1,0,5,2
50,2,0,0,0,75825,2209,4858,40,1032,81,556,120.5,81,51,5,8,9,0,1,4,2
50,1,1,0,0,26326,18,4531,12,1,0,5,0,3,9,0,0,3,1,0,3,1
61,2,1,0,0,56046,692,4776,9,577,0,64,0,0,51,10,1,8,2,1,8,0
41,2,0,1,1,29760,165,4902,87,64,4,68,7,5,17,3,1,4,4,0,8,1
57,2,1,1,1,26304,16,4604,5,4,1,5,2,0,4,1,0,2,1,0,7,1
53,1,1,1,1,23559,79,4594,87,25,5,19,7,0,23,3,0,3,3,0,7,1
63,3,1,0,0,38620,318,4647,56,112,17,44,34,22,89,2,5,3,1,0,3,2
39,2,0,0,0,81361,778,4357,18,163,23,424,27,65,76,3,10,13,1,0,1,2
66,2,1,1,2,29440,56,4555,95,17,8,14,10,4,3,1,0,4,2,0,7,1
56,3,1,1,2,36138,151,4581,48,130,0,16,0,0,5,3,1,4,5,1,7,1
69,2,0,1,1,50388,372,4265,3,292,6,37,0,3,34,6,1,6,4,2,7,0
53,2,1,0,0,79593,1366,4281,70,350,60,556,110,81,126.5,5,6,7,1,1,2,2
59,2,1,1,1,54178,194,4392,79,135,9,39,4,0,7,2,2,5,1,0,2,1
69,4,1,1,3,51381.5,603,4820,4,230,42,192,49,37,53,7,2,8,12,0,9,0
69,2,0,1,2,51381.5,18,4266,45,7,0,8,2,0,1,1,0,2,1,0,7,1
53,3,1,0,0,51381.5,985,4451,87,445,37,359,98,28,18,2,4,8,1,0,1,2
54,3,0,1,1,42394,32,4331,69,15,2,10,0,1,4,1,0,3,1,0,7,1
56,4,1,1,1,23626,43,4269,84,27,2,14,0,0,0,3,1,3,3,0,5,1
43,2,1,1,1,30096,45,4271,30,5,3,11,12,5,9,2,0,3,1,0,6,1
66,2,0,1,1,47916,606,4817,72,505,0,26,0,0,75,7,4,6,5,1,6,0
54,2,0,1,2,51813,63,4677,37,51,2,7,0,1,2,2,0,3,2,0,7,1
75,1,1,0,0,78497,978,4443,44,207,26,447,75,0,126.5,5,7,12,1,1,2,2
43,4,1,0,0,50150,410,4607,32,135,46,92,65,61,11,5,2,7,2,0,5,2
66,1,0,1,1,47823,72,4574,0,53,1,5,2,1,10,2,0,3,2,0,8,1
67,4,0,1,1,34554,55,4324,43,41,1,6,2,0,5,2,0,3,2,0,6,1
47,2,1,1,1,85693,1169,4668,59,386,81,183,120.5,81,111,9,5,11,2,0,5,2
81,4,1,0,0,65846,1120,4641,68,562,81,276,80,40,81,6,3,6,1,0,4,2
67,2,1,0,0,87195,1097,4285,35,217,76,556,50,26,38,3,11,5,1,0,1,2
47,0,1,1,1,24594,29,4434,94,1,3,6,10,0,9,1,0,3,1,0,5,1
62,2,1,1,2,49096,187,4511,15,144,1,32,2,1,7,4,1,4,4,0,7,1
57,2,1,1,2,52413,910,4745,56,295,81,271,75,81,65,6,4,12,4,0,6,0
48,2,0,1,1,38557,145,4790,17,76,3,31,4,4,27,3,1,3,2,0,7,1
66,3,1,0,0,89058,850,4802,18,454,81,106,31,22,43,5,4,4,1,0,2,2
47,2,1,1,1,77298,969,4472,46,425,81,292,23,35,79,6,6,11,1,0,3,2
35,4,0,0,0,68126,1820,4829,40,1225,17,311,23,51,86,7,4,5,1,1,9,2
63,3,1,1,1,57288,608,4237,27,527,0,21,0,0,60,8,1,8,3,1,6,0
35,2,0,0,0,86037,730,4776,95,490,44,125,29,20,22,6,7,11,1,2,3,2
46,4,1,1,1,43974,551,4797,19,378,0,101,0,0,72,6,4,6,5,0,7,0
64,2,0,1,2,50785,114,4525,27,64,1,21,0,1,27,2,1,3,2,0,6,1
56,2,1,0,0,90765,1724,4389,25,547,81,556,120.5,81,33,4,6,5,0,2,1,2
48,1,1,1,1,36550,577,4728,74,47,81,94,120.5,81,120,9,1,5,5,0,9,0
59,1,1,1,2,30753,81,4586,85,12,5,25,0,9,30,1,1,3,2,0,5,1
57,2,1,1,1,21918,33,4460,37,1,6,7,11,5,3,2,0,3,2,0,6,1
73,3,1,1,1,56129,660,4607,65,320,48,133,39,72,48,6,2,10,4,0,4,0
59,3,0,1,1,32557,80,4358,13,34,3,29,0,4,10,2,1,3,3,0,5,1
41,3,1,1,2,19510,30,4531,63,9,0,7,3,4,7,1,0,3,2,0,7,1
50,2,0,1,1,30992,43,4666,83,17,0,14,7,3,2,1,0,3,1,0,7,1
43,2,0,0,0,101970,1135,4707,69,722,27,102,44,72,126.5,6,8,13,0,3,2,2
61,1,1,0,0,71488,559,4729,87,162,33,124,40,28,126.5,3,4,7,2,0,1,2
42,2,0,0,0,79607,1923,4667,37,450,81,556,120.5,0,126.5,3,6,6,1,0,1,2
73,3,1,1,2,54348,90,4254,51,70,0,16,0,0,4,2,0,4,2,0,6,1
65,4,1,1,1,51381.5,404,4586,23,352,0,27,10,0,15,6,1,7,3,0,6,0
70,4,1,1,2,77376,661,4283,72,492,19,110,16,12,12,6,3,10,4,0,4,0
74,2,1,1,1,62998,463,4505,10,120,58,73,65,81,58,5,4,5,5,0,5,0
68,3,0,1,2,61331,632,4709,42,534,5,47,0,5,41,11,1,6,5,0,8,0
57,2,1,0,0,73448,725,4372,10,236,81,189,23,41,126.5,7,2,9,1,0,4,2
63,2,1,1,1,51381.5,725,4555,96,231,65,196,38,71,124,6,5,7,1,0,4,2
62,4,1,1,2,41551,279,4552,51,220,0,33,3,0,23,5,1,5,5,0,8,0
59,4,1,0,0,62981,1482,4702,21,796,14,556,38,44,0,4,5,13,1,1,3,2
50,0,0,1,1,9548,29,4923,31,0,1,3,10,6,9,1,0,3,2,0,8,1
67,4,1,1,3,33762,106,4590,61,53,1,34,2,0,16,2,2,2,3,0,8,1
53,4,0,1,2,35860,49,4274,37,15,0,8,4,2,20,1,1,2,2,1,5,1
61,4,0,1,2,36921,38,4569,74,17,1,12,3,1,4,2,0,3,2,0,7,1
34,3,0,0,0,92859,2077,4851,46,962,61,556,52,61,20,5,4,12,1,0,2,2
50,3,1,1,1,65104,1053,4460,4,738,0,232,13,20,50,3,5,7,2,0,7,0
64,2,1,0,0,86111,1385,4669,73,399,28,556,36,40,126,5,7,10,1,0,2,2
52,4,0,1,1,68352,871,4538,47,614,16,132,43,33,33,8,5,9,3,0,6,0
38,2,1,1,1,41883,312,4700,13,32,34,41,73,16,116,4,2,3,3,0,7,0
50,2,1,1,2,59809,877,4852,36,598,16,141,32,41,49,3,3,6,3,0,8,0
51,2,1,1,1,23957,68,4842,47,2,1,18,20,11,16,2,0,3,1,0,6,1
45,2,1,1,1,38547,22,4538,49,6,1,10,0,1,4,1,0,2,1,0,8,1
53,1,1,1,3,35688,211,4909,94,73,3,90,12,1,32,4,1,4,7,0,8,0
60,3,1,0,0,49605,127,4241,65,42,16,29,12,20,8,2,1,4,1,0,3,1
73,3,1,1,2,59354,459,4299,59,295,21,78,39,13,13,4,4,7,1,0,3,0
57,2,1,1,1,65747,460,4347,96,346,17,48,23,13,13,8,1,6,4,1,6,0
54,1,1,1,1,46344,429,4795,28,233,20,57,8,20,91,7,1,5,4,0,7,0
38,2,0,1,1,34176,89,4281,12,5,7,24,19,14,20,3,0,4,4,0,6,1
74,4,1,1,1,61010,1021,4861,57,888,0,57,0,0,76,8,5,11,2,0,5,0
77,2,1,0,0,69372,1381,4728,10,997,26,269,34,13,42,10,4,6,1,2,4,2
68,2,0,1,1,49967,306,4589,4,212,6,69,4,12,3,6,1,5,3,0,7,0
48,2,0,1,3,60199,18,4523,49,8,1,7,2,0,0,0,0,3,1,0,4,1
49,2,1,1,1,55375,162,4488,3,42,11,57,10,28,14,1,1,6,1,0,2,1
71,2,0,0,0,80317,1231,4546,64,536,11,387,120.5,81,57,3,4,10,1,0,1,2
68,3,0,1,3,30523,13,4596,0,5,0,3,0,0,5,1,0,2,1,0,7,1
81,4,1,0,0,70356,1706,4834,20,1225,16,249,43,16,33,10,6,9,2,0,6,2
42,2,1,1,1,23228,121,4408,91,53,3,49,7,4,5,3,0,4,4,0,8,1
51,4,0,0,0,74165,1293,4657,9,1001,12,240,16,12,12,5,4,10,1,0,2,2
53,4,1,1,1,117416.25,1608,4353,98,20,2,556,1,2,1,0,22,0,15,0,0,0
60,2,1,1,3,43482,88,4461,83,18,1,32,6,3,28,2,0,4,3,0,6,1
73,2,0,0,0,62551,421,4456,27,125,16,98,120.5,21,27,6,7,4,1,1,3,2
67,2,0,0,0,52332,259,4538,63,212,5,33,7,0,2,3,2,6,1,1,4,1
38,2,0,0,0,66951,1117,4472,46,277,81,305,120.5,76,124,3,4,7,1,0,1,2
69,2,1,1,2,26091,89,4357,84,15,10,19,8,17,20,2,1,3,3,0,5,1
61,2,1,1,2,33456,36,4302,58,7,3,10,8,1,7,1,0,3,2,0,7,1
44,2,1,1,1,28718,57,4584,78,12,4,6,11,8,16,2,0,3,2,0,8,1
56,2,1,1,2,50447,148,4302,4,85,7,24,2,3,27,3,1,3,1,0,6,1
67,4,1,1,2,53537,93,4383,17,81,0,6,0,0,6,2,1,3,2,0,5,1
59,2,0,1,1,52074,119,4319,77,59,0,12,0,0,48,2,2,2,1,1,4,1
51,4,1,1,1,80427,1835,4888,56,1149,71,449,69,71,26,11,8,8,1,0,5,2
78,4,1,0,0,83837,1318,4793,79,847,66,119,86,81,111,9,10,5,1,2,4,2
56,4,1,1,2,38853,45,4270,90,29,0,14,0,0,2,2,0,3,2,0,7,1
67,2,1,1,3,38285,10,4238,96,2,0,5,2,0,1,0,0,3,1,0,2,1
75,1,1,0,0,78497,978,4443,44,207,26,447,75,0,126.5,5,7,12,1,1,2,2
50,4,1,1,1,51650,191,4282,81,152,3,22,2,5,7,4,1,4,1,0,5,1
38,1,1,1,1,16248,57,4283,77,12,11,10,3,12,9,2,1,3,3,0,6,1
80,3,1,0,0,66835,1033,4507,21,620,26,195,34,17,126.5,6,4,13,1,0,2,2
42,3,1,1,1,30477,66,4391,16,47,1,6,0,0,12,1,1,3,1,0,6,1
65,0,1,0,0,28249,43,4247,80,1,9,7,2,14,10,2,0,3,1,0,6,1
43,2,1,1,1,25271,50,4804,45,10,1,18,10,4,7,1,1,2,1,0,9,1
56,4,0,1,1,32303,39,4346,63,35,0,2,0,0,2,1,0,4,2,0,5,1
60,2,1,1,1,61286,608,4564,34,356,0,107,19,9,117,7,1,8,2,0,5,0
50,2,1,0,0,74068,1581,4700,14,783,30,537,120.5,76,15,4,10,9,1,0,2,2
62,4,1,1,2,45759,68,4724,13,42,1,18,3,0,4,2,0,3,2,0,7,1
48,0,1,1,1,24882,80,4891,52,1,4,10,29,0,36,1,1,2,1,1,6,1
37,4,1,0,0,66973,1282,4641,98,466,22,432,120.5,81,102,8,7,12,1,0,3,2
94,1,0,1,1,36640,65,4509,99,15,6,8,7,4,25,2,1,2,1,0,5,1
38,2,1,1,1,38872,91,4628,93,23,3,21,3,19,22,3,0,3,2,0,8,1
53,2,1,1,2,51148,315,4729,38,235,6,45,8,9,12,5,1,6,4,0,6,0
49,2,1,1,2,31353,31,4415,24,10,0,10,3,1,7,1,1,2,2,0,8,1
46,3,1,0,0,69661,834,4280,80,656,16,106,32,16,8,7,3,12,1,0,3,2
72,2,1,0,0,80067,1600,4516,82,519,17,556,27,81,51,4,6,6,1,1,2,2
72,2,1,0,0,86718,1270,4761,20,344,81,482,50,33,126.5,5,6,5,1,0,2,2
53,4,0,1,2,46854,263,4323,81,96,1,79,7,1,79,5,1,3,6,1,8,0
74,2,0,1,1,69142,535,4233,50,448,4,34,6,4,39,8,1,7,3,1,5,0
58,2,0,0,0,75922,1295,4435,60,265,81,553,120.5,23,92,4,4,9,1,0,1,2
48,2,0,1,1,63693,1150,4491,63,587,43,337,42,81,54,11,6,9,3,0,6,0
49,4,1,0,0,102160,1240,4837,54,763,29,138,76,81,58,7,9,10,0,3,4,2
61,4,0,1,2,40637,38,4580,72,22,0,13,0,0,3,1,0,3,2,0,7,1
42,3,0,0,0,18890,35,4829,5,6,4,1,7,2,15,0,1,2,1,1,6,1
38,2,1,1,1,29604,53,4436,88,7,6,13,7,6,14,1,0,3,1,1,9,1
63,3,0,1,2,48721,293,4645,50,81,18,113,47,13,21,4,2,5,6,0,6,0
60,2,1,1,1,44794,65,4254,99,54,0,7,0,0,4,2,0,3,1,0,6,1
72,2,0,1,1,64497,1804,4890,17,1170,48,320,42,32,126.5,11,4,9,5,1,8,0
70,2,1,1,1,46097,241,4688,11,72,24,68,65,4,8,3,1,6,5,0,4,0
72,2,1,0,0,77972,1101,4336,18,613,22,319,33,81,12,4,6,9,1,0,1,2
58,4,1,1,2,44377,264,4865,70,224,0,30,0,0,10,5,1,5,8,0,8,0
52,3,1,1,2,46014,541,4757,21,410,0,59,19,9,44,7,1,8,10,0,7,0
41,2,1,0,0,70951,1198,4654,66,239,10,554,120.5,81,54,3,4,9,1,0,1,2
49,2,1,1,1,41443,482,4322,79,171,7,171,25,19,89,8,1,5,6,0,8,0
48,1,0,1,3,52195,17,4281,2,12,0,4,0,0,1,1,0,2,1,0,8,1
78,3,1,0,0,83790,1615,4459,81,1076,16,417,42,48,16,8,10,6,1,2,3,2
72,3,0,1,1,44551,285,4535,24,182,4,33,0,0,66,4,1,5,2,0,7,1
46,2,1,1,1,69508,1135,4825,48,824,32,162,42,32,43,11,4,11,2,0,6,0
38,1,1,1,1,45204,114,4312,93,30,11,25,29,1,18,1,1,4,1,0,3,1
57,2,1,0,0,72460,1047,4460,56,377,10,540,80,30,10,3,5,7,1,0,1,2
56,4,1,1,2,77622,714,4309,3,520,7,154,19,0,14,6,3,11,2,0,3,0
46,4,1,1,1,30732,185,4773,44,155,1,25,0,1,3,4,1,4,4,0,8,1
64,2,0,1,1,63887,1245,4892,38,897,23,207,15,11,92,9,6,12,5,0,6,0
48,2,1,1,1,42011,189,4693,46,131,0,16,2,1,39,3,1,4,4,0,8,1
50,2,1,1,1,51369,576,4845,84,297,7,79,0,11,126.5,8,2,4,2,0,8,0
74,2,0,1,1,51537,1103,4800,27,787,20,204,0,0,92,2,2,11,3,0,8,0
54,4,1,0,0,79930,1753,4923,72,792,81,556,67,51,17,3,5,8,1,0,2,2
40,4,1,1,1,34320,17,4366,66,4,1,9,3,0,0,1,0,2,1,0,8,1
60,2,0,1,2,37070,433,4699,30,231,7,137,4,15,39,5,1,8,9,0,7,0
64,1,0,1,1,81975,1588,4773,2,983,76,184,120.5,81,27,6,3,4,1,1,7,2
55,2,1,1,1,38590,22,4643,65,3,1,8,4,3,3,1,0,2,1,0,8,1
75,2,0,0,0,15033,19,4307,37,0,4,5,6,0,4,1,0,3,1,0,3,1
61,4,1,1,1,62745,1117,4696,89,562,21,464,28,10,32,7,8,11,3,0,5,0
51,1,1,1,1,22212,69,4435,49,5,9,20,6,8,21,2,0,4,2,0,6,1
44,3,1,1,1,23661,23,4440,46,18,0,4,0,0,1,1,0,3,1,0,7,1
68,4,0,1,1,79761,605,4501,32,415,5,124,15,35,11,5,2,11,1,0,3,0
53,2,0,1,1,7500,57,4418,54,5,3,10,12,7,20,3,1,3,4,0,7,1
94,1,0,1,1,60182,22,4276,23,8,0,5,7,0,2,1,0,2,1,0,4,1
58,2,0,0,0,73455,2088,4477,98,901,61,556,120.5,81,20,6,5,10,1,1,3,2
68,2,1,1,1,64961,1009,4786,97,382,81,276,75,81,38,6,4,4,2,0,3,0
55,2,0,1,1,22804,26,4566,75,14,1,7,2,1,1,2,0,2,1,0,9,1
36,2,1,0,0,73687,1627,4446,8,559,81,503,120.5,13,126.5,3,9,9,1,1,2,2
68,2,1,1,1,61074,1102,4914,37,789,0,133,0,28,126.5,11,5,8,7,0,7,0
62,4,1,1,2,31686,17,4257,31,11,0,5,0,0,1,1,0,3,2,0,6,1
54,2,1,1,1,80134,1690,4638,40,1218,16,272,104,0,80,5,3,6,2,3,6,0
73,2,1,1,1,75027,1390,4769,74,925,64,179,120.5,12,77,9,4,6,2,0,5,0
38,4,1,0,0,67546,2126,4900,90,864,81,556,120.5,38,126.5,4,10,5,1,0,3,2
57,3,1,1,1,65176,1531,4841,57,960,28,183,120.5,70,70,9,6,6,4,0,6,0
51,3,0,1,1,31160,64,4519,59,16,3,25,6,1,13,2,0,3,2,0,8,1
41,2,0,1,1,29938,26,4478,52,3,3,7,0,2,11,1,0,3,2,0,6,1
52,2,0,0,0,102692,1112,4683,5,168,81,444,32,81,126.5,6,9,13,1,4,2,2
68,1,1,0,0,26490,210,4878,92,45,47,52,21,20,25,3,1,5,2,0,6,0
59,2,1,1,2,75702,1148,4902,77,650,28,353,45,42,30,4,6,11,5,0,8,0
52,4,0,1,1,30899,33,4857,35,24,0,8,0,0,1,1,0,3,2,0,6,1
65,4,1,1,1,63342,1101,4854,48,918,21,118,13,10,21,8,3,5,3,1,6,0
62,2,0,1,1,45989,322,4848,97,138,33,87,28,24,12,3,2,7,4,0,3,0
62,2,0,1,2,18701,44,4623,95,12,4,2,10,6,10,2,0,4,4,0,5,1
69,4,0,1,3,40737,17,4436,24,11,0,4,0,0,2,1,0,2,1,0,8,1
47,2,0,1,1,15287,31,4860,60,1,2,8,4,3,13,1,1,2,2,1,7,1
58,4,0,1,2,69674,845,4636,46,554,41,215,11,0,24,10,2,10,3,0,5,0
56,3,1,1,1,44159,275,4245,85,167,2,62,24,13,7,4,1,6,4,0,5,0
48,4,1,1,1,37717,25,4816,31,9,0,6,4,1,5,1,0,2,1,0,9,1
74,3,1,1,2,43776,275,4744,9,177,2,71,3,2,20,5,2,4,6,0,8,0
60,3,1,1,2,38179,90,4705,30,38,4,22,4,2,20,3,1,3,4,0,7,1
63,2,1,0,0,80124,1495,4236,47,483,81,398,120.5,81,126.5,3,7,8,1,1,1,2
56,4,1,1,2,38097,184,4855,70,77,2,35,0,1,69,3,2,2,4,1,7,1
56,2,1,0,0,72940,981,4608,13,182,74,298,120.5,81,116,3,3,6,1,0,1,2
56,2,1,1,1,22070,67,4501,11,10,7,19,8,2,21,2,2,2,2,0,6,1
73,2,0,0,0,69267,1635,4878,31,778,44,499,95,73,126.5,3,4,5,2,0,7,2
43,3,0,1,1,31788,60,4334,15,16,7,23,0,8,6,3,0,4,3,0,5,1
51,4,1,1,1,61905,231,4378,2,167,0,43,6,2,13,4,2,4,2,0,5,1
66,2,1,1,2,29315,48,4317,55,13,2,14,8,7,4,2,0,4,4,0,6,1
63,2,0,1,2,33378,99,4741,38,33,6,40,3,7,10,2,0,4,3,0,7,1
63,4,1,1,1,66313,770,4519,86,625,7,99,10,22,7,6,3,12,2,0,4,0
70,2,0,0,0,60714,957,4761,56,216,81,224,101,81,126.5,7,4,10,2,0,5,2
45,3,1,0,0,77882,818,4293,29,68,81,396,120.5,22,15,3,3,5,1,0,1,2
40,4,0,0,0,69867,925,4686,30,196,0,512,33,81,54,3,5,8,1,1,1,2
58,3,0,1,1,63841,908,4667,64,635,15,100,20,7,126.5,9,3,9,1,0,6,0
45,0,1,1,1,24480,102,4736,46,4,19,9,28,25,17,3,0,4,3,0,7,1
50,2,1,1,1,51369,576,4845,84,297,7,79,0,11,126.5,8,2,4,2,0,8,0
80,2,1,0,0,37760,317,4900,20,84,5,38,120.5,12,28,4,1,6,2,0,7,0
52,4,1,1,1,65640,461,4353,74,204,7,149,20,15,66,5,1,8,1,0,2,0
51,3,1,1,2,44319,37,4306,18,26,0,8,0,0,3,2,0,3,2,0,5,1
52,2,1,1,1,30631,70,4585,75,15,6,20,4,5,20,3,1,2,1,0,7,1
74,2,1,0,0,75278,930,4749,17,304,81,230,120.5,74,74,6,3,13,1,0,3,2
70,3,1,1,2,50898,859,4770,88,285,28,242,55,81,126.5,6,2,12,13,0,5,0
60,2,0,0,0,79946,1478,4281,19,395,81,556,120.5,81,28,5,11,5,1,0,3,2
77,3,0,0,0,35416,390,4614,62,248,3,81,4,3,51,7,1,5,3,0,8,0
42,1,1,0,0,32414,52,4593,11,20,6,5,0,9,12,1,0,3,1,1,7,1
57,2,1,1,1,38361,137,4417,74,39,0,56,20,8,14,3,1,3,3,0,7,1
46,2,1,0,0,82497,1919,4839,32,777,81,556,120.5,21,126.5,2,7,9,1,1,4,2
55,2,1,1,2,16626,68,4398,76,8,3,22,21,1,13,3,0,3,3,0,9,1
